slug,media,headline,date,publisher,href,iref,Customer,Product,Finance,Operations,Partner,Competitor,Environment
netflix-cloud-gaming,article,"Netflix Inks Deal for Rights to Sony Movies, Including Coming ‘Spider-Man’ Films",2021-04-08,The Wall Street Journal,https://www.wsj.com/articles/netflix-inks-deal-for-rights-to-sony-movies-including-upcoming-spider-man-films-11617901201,https://images.wsj.net/im-322349/?width=700&size=1.5,,1,,,1,,
netflix-cloud-gaming,article,Zack Snyder’s ‘Army of the Dead’ and Other Netflix Movies Turn Up in Theaters,2021-05-15,The Wall Street Journal,https://www.wsj.com/articles/zack-snyders-army-of-the-dead-and-other-netflix-movies-turn-up-in-theaters-11621051223,https://images.wsj.net/im-338147/?width=700&size=1.5,,1,,,1,,
netflix-cloud-gaming,article,Netflix’s Videogame Gambit Is Taking Shape as Streaming Competition Grows,2021-07-15,The Wall Street Journal,https://www.wsj.com/articles/netflixs-videogame-gambit-is-taking-shape-as-streaming-competition-grows-11626375983,https://images.wsj.net/im-370100/?width=700&size=1.5,,1,,1,,,
netflix-cloud-gaming,article,Why Netflix is getting into games,2021-07-20,Vox,https://www.vox.com/recode/2021/7/20/22586084/netflix-gaming-strategy-earnings-explained,https://cdn.vox-cdn.com/thumbor/IrzfaUPyvysi3FkaR6daH2imXXo=/0x0:2000x1123/920x613/filters:focal(840x402:1160x722):format(webp)/cdn.vox-cdn.com/uploads/chorus_image/image/69609412/sts2_2000x1123.0.png,,1,,,,,
netflix-cloud-gaming,article,Raising the curtain on Netflix’s ambitious third act,2021-07-20,The Economist,https://www.economist.com/business/2021/07/20/netflix-season-3,"https://www.economist.com/cdn-cgi/image/width=834,quality=80,format=auto/sites/default/files/20210724_WBP502.jpg",,1,1,,,1,
netflix-cloud-gaming,article,"Netflix Acquires Its First Game Studio, ‘Oxenfree’ Developer Night School Studio",2021-09-28,Variety,https://variety.com/2021/digital/news/netflix-acquires-night-school-oxenfree-1235076357/,https://variety.com/wp-content/uploads/2021/09/Netflix-acquires-Night-School-Studio-Oxenfree.png?w=1000&h=563&crop=1&resize=1000%2C563,,1,,1,,,
netflix-cloud-gaming,article,Netflix Changes How It Ranks Viewership,2021-11-16,The Wall Street Journal,https://www.wsj.com/articles/netflix-changes-how-it-ranks-its-most-popular-shows-11637092802,https://images.wsj.net/im-436014/?width=700&size=1.5,,,,1,,,
netflix-cloud-gaming,article,A look under the hood of the most successful streaming service on the planet,2021-11-17,The Verge,https://www.theverge.com/22787426/netflix-cdn-open-connect,https://duet-cdn.vox-cdn.com/thumbor/0x0:2048x1365/640x640/filters:focal(1024x683:1025x684):format(webp)/cdn.vox-cdn.com/uploads/chorus_asset/file/23014393/VRG_ILLO_4878_Netflix_Bitrate.jpg,,,,1,,,
netflix-cloud-gaming,article,"Netflix to Buy Special-Effects Firm Behind ‘Stranger Things,’ ‘Game of Thrones’",2021-11-22,The Wall Street Journal,https://www.wsj.com/articles/netflix-to-buy-special-effects-firm-behind-stranger-things-game-of-thrones-11637607167,https://images.wsj.net/im-439438/?width=700&size=1.5,,,,1,,,
netflix-cloud-gaming,article,Netflix and Other Streaming Platforms Are Embracing Ads—but Will the Advertisers Love Them Back?,2022-01-18,The Wall Street Journal,https://www.wsj.com/articles/netflix-streaming-ads-advertisers-money-11666035099,https://images.wsj.net/im-645421?width=700&size=1.5005861664712778,1,1,,1,,,
netflix-cloud-gaming,article,Microsoft’s Activision Blizzard Deal to Power Its Netflix-of-Gaming Aspirations,2022-01-19,The Wall Street Journal,https://www.wsj.com/articles/activision-deal-is-set-to-power-microsofts-push-to-be-the-netflix-of-gaming-11642597205,https://images.wsj.net/im-469352/?width=700&size=1.5,,,,,,1,
netflix-cloud-gaming,article,Netflix’s Price Hike: The Math Behind the Plan,2022-01-19,The Hollywood Reporter,https://www.hollywoodreporter.com/business/digital/netflixs-price-plans-tiers-math-1235076902/,https://www.hollywoodreporter.com/wp-content/uploads/2022/01/3rep_netflix_illo_w-H-2022.jpg?w=1296&h=730&crop=1&resize=1000%2C563,,,1,,,,
netflix-cloud-gaming,article,Why Netflix keeps cranking up its prices,2022-01-20,The Verge,https://www.theverge.com/2022/1/20/22893419/netflix-price-increase-q1-2022-earnings,https://duet-cdn.vox-cdn.com/thumbor/0x0:2040x1360/640x427/filters:focal(1020x680:1021x681):format(webp)/cdn.vox-cdn.com/uploads/chorus_asset/file/13370033/acastro_181101_1777_netflix_0001.jpg,,,1,,,,
netflix-cloud-gaming,article,Why Microsoft is splashing $69bn on video games,2022-01-22,The Economist,https://www.economist.com/business/why-microsoft-is-splashing-69bn-on-video-games/21807242,"https://www.economist.com/cdn-cgi/image/width=834,quality=80,format=auto/sites/default/files/images/2022/01/articles/main/20220122_wbp501.jpg",,,,,,1,
netflix-cloud-gaming,article,"Disney, Netflix, Apple: is anyone winning the streaming wars?",2022-02-12,The Economist,https://www.economist.com/business/disney-netflix-apple-is-anyone-winning-the-streaming-wars/21807591,"https://www.economist.com/cdn-cgi/image/width=834,quality=80,format=auto/sites/default/files/images/2022/02/articles/main/20220212_wbp001.jpg",,,,,,1,1
netflix-cloud-gaming,article,Sony’s Expanded PlayStation Plus Subscription Aims to Take on Xbox Game Pass,2022-03-29,The Wall Street Journal,https://www.wsj.com/articles/sony-to-fold-playstation-now-into-its-online-multiplayer-service-for-console-customers-11648567465,https://images.wsj.net/im-514141/?width=700&size=1.5&pixel_ratio=1.5,,,,,,1,
netflix-cloud-gaming,article,Netflix Partners With Microsoft for New Advertising-Backed Option,2022-07-13,The Wall Street Journal,https://www.wsj.com/articles/netflix-partners-with-microsoft-to-launch-advertising-supported-plan-11657738975,https://images.wsj.net/im-583065/?width=700&size=1.5&pixel_ratio=1.5,,,,,1,,
netflix-cloud-gaming,article,Netflix Is Scrambling to Learn the Ad Business It Long Disdained,2022-08-03,The Wall Street Journal,https://www.wsj.com/articles/netflix-ads-plan-streaming-business-11659538834,https://images.wsj.net/im-595962/IM,1,1,,1,,1,
netflix-cloud-gaming,article,Videogame Companies Face Slowdown as People Spend Less on Gaming,2022-08-09,The Wall Street Journal,https://www.wsj.com/articles/the-fun-slows-for-videogame-companies-11660045110,https://images.wsj.net/im-600115/?width=700&size=1.5,,,,,,,1
netflix-cloud-gaming,article,Pushing Buttons: Why did Google Stadia fail?,2022-09-30,The Guardian,https://www.theguardian.com/games/2022/oct/04/google-stadia-is-going-offline-for-good,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/The_Guardian_2018.svg/2560px-The_Guardian_2018.svg.png,,,,,,1,
netflix-cloud-gaming,article,"Netflix to expand into cloud gaming, opens new studio in Southern California",2022-10-18,TechCrunch,https://techcrunch.com/2022/10/18/netflix-to-expand-into-cloud-gaming-opens-new-studio-in-southern-california/,https://techcrunch.com/wp-content/uploads/2022/07/Netflix_1.jpg?w=1390&crop=1,,1,,1,,,
netflix-cloud-gaming,article,The Great Netflix Debate: Do Its Movies Belong in Theaters?,2022-10-19,The Wall Street Journal,https://www.wsj.com/articles/the-great-netflix-debate-do-its-movies-belong-in-theaters-11666171803,https://images.wsj.net/im-645865/?width=700&size=1.5,,1,,,1,,
netflix-cloud-gaming,article,Netflix wants to be a player in gaming. Can it succeed?,2022-10-24,Los Angeles Times,https://www.latimes.com/entertainment-arts/story/2022-10-24/lat-et-ct-netfllix-games,https://ca-times.brightspotcdn.com/dims4/default/7242584/2147483647/strip/true/crop/1920x1080+0+0/resize/1200x675!/format/webp/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fa3%2Ff9%2F4684abdb48d0b05a0467dadb9459%2Foxenfree-netflix-ren-portal.jpg,1,1,,,,1,
netflix-cloud-gaming,article,"Netflix Explores Investing in Sports Leagues, Bidding on Streaming Rights",2022-11-08,The Wall Street Journal,https://www.wsj.com/articles/netflix-explores-investing-in-sports-leagues-bidding-on-streaming-rights-11667930861,https://images.wsj.net/im-661039/?width=700&size=1.5,1,1,,,,,
netflix-cloud-gaming,article,"Microsoft, Activision Blizzard and the future of gaming",2022-11-29,The Economist,https://www.economist.com/business/2022/11/29/microsoft-activision-blizzard-and-the-future-of-gamingg,"https://www.economist.com/cdn-cgi/image/width=834,quality=80,format=auto/media-assets/image/20221126_BLP511.jpg",,,,,,1,1
netflix-cloud-gaming,analysis,Netflix: Slow Gaming Expansion Could Benefit From Transformative Buy,2022-11-29,Seeking Alpha,https://seekingalpha.com/article/4561167-netflix-gaming-expansion-benefit-from-transformative-buy,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1339094198/image_1339094198.jpg?io=getty-c-w640,,,1,1,,,
